Emitter,ZPL_wavelength_nm,ZPL_intensity_counts,SB_wavelength_nm,SB_intensity_counts,Relative_intensity_ZPL_over_SB
Emitter 21,616.77113793126,2371.426315789474,674.4794906623936,653.4263157894738,3.6292176462533523
Emitter 20,622.018222963527,22233.8,680.2489169943658,338.8000000000002,65.62514757969299
Emitter 19,618.5201816342275,26583.952631578948,676.2278336162226,1359.952631578948,19.54770483492071
Emitter 18,630.5881478919393,17595.4,690.737979072548,244.39999999999964,71.99427168576116
Emitter 17,620.2692101032494,20340.463157894737,678.5006381159455,1323.4631578947365,15.369119296264191
Emitter 16,624.9915079429708,33249.08947368421,686.0180331955897,1856.0894736842101,17.913516533061873
Emitter 15,623.4174217615707,11107.031578947368,683.220925528474,1742.0315789473689,6.37590713806626
Emitter 14,626.565580661492,21444.71052631579,686.1928499147328,800.7105263157891,26.7821014230782
Emitter 13,618.1703741003568,11241.157894736843,675.8781672226244,1757.1578947368425,6.39735218354999
Emitter 12,622.5429237218694,30357.152631578945,681.1230457776176,1869.152631578947,16.241130937463925
Emitter 10,626.7404767873031,45703.52631578947,687.2417439678203,2196.5263157894733,20.807183591316438
Emitter 09,626.0408912680638,22819.142105263156,682.5216369048454,1653.1421052631576,13.80349700888579
Emitter 08,625.8659944661723,9108.07894736842,684.6194887755832,787.0789473684208,11.57200173860711
Emitter 07,630.7630400138735,37455.73684210527,691.4372114383339,971.7368421052633,38.545144342739526
Emitter 06,628.8392169331349,88147.93157894736,688.6402525687171,2336.9315789473685,37.71951749595173
Emitter 05,627.2651641434925,6561.926315789474,682.5216369048454,484.92631578947385,13.531800816184766
Emitter 03,620.0943079525564,5040.7052631578945,678.3258086762448,654.7052631578945,7.699197710500509
Emitter 02,626.0408912680638,68917.62105263158,685.1439451497147,3167.621052631579,21.756902074942513
Emitter 01,626.3906843660984,18549.378947368423,687.2417439678203,881.378947368421,21.045861150589392
